#size: 500 4
#stance_hip, swing_hip, stance_knee, swing_knee
0.736006721,14.72763432,12.69561355,42.60595995
0.722972003,14.95981931,12.68770762,43.10169531
0.709699376,15.19223149,12.67963287,43.5978317
0.696204934,15.42490326,12.67138416,44.09428856
0.682475397,15.6578146,12.66303071,44.59090797
0.668495833,15.89088569,12.65451455,45.08775495
0.65430157,16.12410631,12.64584251,45.58454427
0.639876357,16.35733875,12.63704398,46.08092977
0.625223825,16.59064609,12.62814832,46.57708784
0.610336573,16.82396953,12.61909804,47.07278062
0.595226977,17.05723109,12.60990815,47.56789586
0.579893677,17.29035308,12.60062754,48.06202516
0.564316294,17.52345055,12.5912049,48.55543158
0.54852015,17.75639354,12.58166056,49.04795984
0.532511035,17.98901349,12.57201933,49.53894351
0.516258616,18.22150689,12.56223917,50.02881232
0.499793851,18.45376768,12.55238607,50.51730366
0.483122496,18.68564783,12.5424265,51.00410748
0.466181371,18.91719674,12.53230373,51.48905842
0.449041269,19.14850214,12.52209165,51.97259106
0.431712774,19.37932916,12.51184933,52.45381031
0.414121015,19.60972468,12.50142472,52.93291996
0.396297163,19.83972748,12.49087149,53.40997548
0.378312328,20.06928985,12.4803279,53.884702
0.360077556,20.29830152,12.46963122,54.3567213
0.341597814,20.52680284,12.45877079,54.82625268
0.32292683,20.75481255,12.44786817,55.29333013
0.304079614,20.98226041,12.43693382,55.75732977
0.284963152,21.20907375,12.42581022,56.21823357
0.265621213,21.43530312,12.41456512,56.6763002
0.246110499,21.66093075,12.40332018,57.13105212
0.226372396,21.8859361,12.39193825,57.5825788
0.20641421,22.11026161,12.38042864,58.03072106
0.186255628,22.33391844,12.36886678,58.47533104
0.165878962,22.55692589,12.35719293,58.91625374
0.145301234,22.77922688,12.34541084,59.35359083
0.124519913,23.00072969,12.33357425,59.78685115
0.103505189,23.22155313,12.32160088,60.21609658
0.082305031,23.44169523,12.30953099,60.64178027
0.060900105,23.66101299,12.29738328,61.06304917
0.039293049,23.87955187,12.28516903,61.47969671
0.017478359,24.09741951,12.27281599,61.89275611
-0.004546312,24.31441638,12.26036158,62.30094827
-0.026749097,24.53060731,12.24786818,62.70442156
-0.049151696,24.74609826,12.23526081,63.10386527
-0.071791342,24.96071381,12.22249025,63.49837269
-0.094597498,25.17446427,12.20969312,63.88786258
-0.117572272,25.38745606,12.19684781,64.27257805
-0.1407844,25.59961771,12.18382562,64.65258012
-0.164191256,25.81087044,12.17071811,65.02731804
-0.187758335,26.02133316,12.1575677,65.39679764
-0.211528509,26.23095739,12.14429875,65.76146539
-0.235510261,26.43966063,12.13091493,66.12076788
-0.259649378,26.64753507,12.11748555,66.4743797
-0.283972744,26.85457132,12.10395834,66.82303167
-0.308507812,27.06070426,12.0903046,67.16619147
-0.333227234,27.26591658,12.07657511,67.50338549
-0.358090792,27.47029291,12.06281474,67.83524726
-0.383149393,27.67383358,12.04891995,68.16174597
